Q,I(Q),Error
8.01115169E-02,5.78407571E-03,1.63892424E-04
8.03971194E-02,5.76069579E-03,1.65776088E-04
8.06827220E-02,5.59747592E-03,1.64408467E-04
8.09683245E-02,5.41240722E-03,1.63910050E-04
8.12539271E-02,5.49920276E-03,1.64086289E-04
8.15395297E-02,5.56815788E-03,1.62396201E-04
8.18251322E-02,5.61762229E-03,1.63739414E-04
8.21107348E-02,5.12872264E-03,1.63070628E-04
8.23963373E-02,5.18471375E-03,1.61690398E-04
8.26819399E-02,5.53997234E-03,1.64278284E-04
8.29675424E-02,5.55647165E-03,1.61437518E-04
8.32531450E-02,5.42948395E-03,1.62483404E-04
8.35387475E-02,5.32357022E-03,1.60646453E-04
8.38243501E-02,5.39943948E-03,1.62067019E-04
8.41099527E-02,4.81368974E-03,1.60798938E-04
8.43955552E-02,5.12249023E-03,1.59237627E-04
8.46811578E-02,5.07448986E-03,1.60748623E-04
8.49667603E-02,4.98889759E-03,1.59198323E-04
8.52523629E-02,5.21027297E-03,1.60801295E-04
8.55379654E-02,5.17969206E-03,1.59284591E-04
8.58235680E-02,4.96989489E-03,1.58732854E-04
8.61091705E-02,4.98340651E-03,1.60690959E-04
8.63947731E-02,4.64377180E-03,1.58130322E-04
8.66803757E-02,4.77873906E-03,1.58165831E-04
8.69659782E-02,4.77867946E-03,1.57476038E-04
8.72515808E-02,4.42693010E-03,1.57454078E-04
8.75371833E-02,4.83590737E-03,1.58818199E-04
8.78227859E-02,4.68859449E-03,1.56126971E-04
8.81083884E-02,4.44413722E-03,1.56839742E-04
8.83939910E-02,4.90566716E-03,1.56671761E-04
8.86795935E-02,4.74603102E-03,1.57682195E-04
8.89651961E-02,4.51266021E-03,1.56205312E-04
8.92507987E-02,4.49171290E-03,1.54537911E-04
8.95364012E-02,4.46971133E-03,1.56415428E-04
8.98220038E-02,4.15804610E-03,1.54539048E-04
9.01076063E-02,4.07841429E-03,1.55453571E-04
9.03932089E-02,4.38504666E-03,1.54073841E-04
9.06788114E-02,4.34500724E-03,1.54361954E-04
9.09644140E-02,4.51413542E-03,1.56025495E-04
9.12500165E-02,4.26967442E-03,1.54763973E-04
9.15356191E-02,4.25994024E-03,1.53363227E-04
9.18212217E-02,4.07822803E-03,1.52214496E-04
9.21068242E-02,4.15443256E-03,1.54199683E-04
9.23924268E-02,4.20869514E-03,1.54333732E-04
9.26780293E-02,3.76462936E-03,1.52609486E-04
9.29636319E-02,3.98220494E-03,1.52356430E-04
9.32492344E-02,4.04112041E-03,1.52260502E-04
9.35348370E-02,4.04792279E-03,1.53270678E-04
9.38204395E-02,3.84478271E-03,1.51434245E-04
9.41060421E-02,3.90586630E-03,1.51246890E-04
9.43916447E-02,3.99693102E-03,1.51930799E-04
9.46772472E-02,3.93826142E-03,1.51796153E-04
9.49628498E-02,3.89248878E-03,1.52294837E-04
9.52484523E-02,3.79363820E-03,1.49488563E-04
9.55340549E-02,3.86213511E-03,1.51392907E-04
9.58196574E-02,3.70745733E-03,1.50503429E-04
9.61052600E-02,3.76114249E-03,1.51208133E-04
9.63908625E-02,3.76539305E-03,1.49636733E-04
9.66764651E-02,3.67865339E-03,1.49536847E-04
9.69620677E-02,3.71201709E-03,1.49821175E-04
9.72476702E-02,3.77001986E-03,1.49747414E-04
9.75332728E-02,3.52923572E-03,1.48535290E-04
9.78188753E-02,3.80218029E-03,1.50142972E-04
9.81044779E-02,3.46353650E-03,1.48454249E-04
9.83900804E-02,3.40622291E-03,1.50364813E-04
9.86756830E-02,3.32271680E-03,1.46929510E-04
9.89612855E-02,3.47230211E-03,1.47643238E-04
9.92468881E-02,3.17962840E-03,1.47497738E-04
9.95324907E-02,3.49746272E-03,1.48249887E-04
9.98180932E-02,3.37314978E-03,1.48159355E-04
1.00103696E-01,3.23443487E-03,1.46903422E-04
1.00389298E-01,3.37998196E-03,1.46362737E-04
1.00674901E-01,3.48759815E-03,1.47759656E-04
1.00960503E-01,3.07583064E-03,1.46819887E-04
1.01246106E-01,2.87037343E-03,1.45773246E-04
1.01531709E-01,2.85897404E-03,1.45372158E-04
1.01817311E-01,3.05527076E-03,1.46654105E-04
1.02102914E-01,3.09486315E-03,1.46262630E-04
1.02388516E-01,3.12225148E-03,1.45223867E-04
1.02674119E-01,2.97067687E-03,1.45513127E-04
1.02959721E-01,3.20126489E-03,1.45417476E-04
1.03245324E-01,3.03273275E-03,1.45284074E-04
1.03530926E-01,3.22207063E-03,1.46237204E-04
1.03816529E-01,2.87440792E-03,1.43609244E-04
1.04102132E-01,2.74485350E-03,1.44475998E-04
1.04387734E-01,3.01523134E-03,1.43657251E-04
1.04673337E-01,2.95294821E-03,1.45269666E-04
1.04958939E-01,3.04458290E-03,1.43599226E-04
1.05244542E-01,3.02227587E-03,1.44233544E-04
1.05530144E-01,2.91121006E-03,1.44630076E-04
1.05815747E-01,3.16273794E-03,1.43347326E-04
1.06101349E-01,2.78989971E-03,1.42805692E-04
1.06386952E-01,2.67057121E-03,1.42244307E-04
1.06672555E-01,2.55224481E-03,1.43568299E-04
1.06958157E-01,2.77732313E-03,1.43808832E-04
1.07243760E-01,2.83105671E-03,1.41722834E-04
1.07529362E-01,2.56096199E-03,1.42501258E-04
1.07814965E-01,2.46713310E-03,1.41952491E-04
1.08100567E-01,2.96175852E-03,1.42490238E-04
1.08386170E-01,2.58418173E-03,1.42143178E-04
1.08671772E-01,2.71715224E-03,1.41952347E-04
1.08957375E-01,2.41623074E-03,1.41040991E-04
1.09242978E-01,2.84903497E-03,1.42100618E-04
1.09528580E-01,2.54264101E-03,1.45620475E-04
1.09814183E-01,2.57422775E-03,1.45176421E-04
1.10099785E-01,2.24978104E-03,1.47392028E-04
1.10385388E-01,2.31193379E-03,1.48418851E-04
1.10670990E-01,2.58028507E-03,1.50158988E-04
1.10956593E-01,2.50180066E-03,1.50481103E-04
1.11242195E-01,2.55931169E-03,1.51239731E-04
1.11527798E-01,2.26245448E-03,1.52339380E-04
1.11813401E-01,2.50777230E-03,1.54260054E-04
1.12099003E-01,2.60152295E-03,1.54819664E-04
1.12384606E-01,2.53819302E-03,1.55623328E-04
1.12670208E-01,2.29322165E-03,1.55210600E-04
1.12955811E-01,2.51575932E-03,1.57968063E-04
1.13241413E-01,2.28371844E-03,1.56329206E-04
1.13527016E-01,2.31073424E-03,1.53365802E-04
1.13812618E-01,2.34810635E-03,1.53376880E-04
1.14098221E-01,2.20979378E-03,1.50443048E-04
1.14383824E-01,2.26491317E-03,1.51452642E-04
1.14669426E-01,2.63202563E-03,1.49271882E-04
1.14955029E-01,2.11612508E-03,1.48638905E-04
1.15240631E-01,2.34198198E-03,1.48114427E-04
1.15526234E-01,2.11482868E-03,1.47604637E-04
1.15811836E-01,2.11693347E-03,1.47343802E-04
1.16097439E-01,2.18779221E-03,1.44395622E-04
1.16383041E-01,2.04720348E-03,1.46617579E-04
1.16668644E-01,2.34059989E-03,1.45290222E-04
1.16954247E-01,2.28192285E-03,1.45111417E-04
1.17239849E-01,2.12523714E-03,1.45664611E-04
1.17525452E-01,2.17252970E-03,1.43259946E-04
1.17811054E-01,2.13736296E-03,1.45069658E-04
1.18096657E-01,1.98666379E-03,1.42381595E-04
1.18382259E-01,2.07158551E-03,1.43245745E-04
1.18667862E-01,2.14519352E-03,1.43032689E-04
1.18953464E-01,1.96352229E-03,1.42435137E-04
1.19239067E-01,1.82909518E-03,1.42721510E-04
1.19524670E-01,2.01201066E-03,1.41272059E-04
1.19810272E-01,1.93443894E-03,1.41475863E-04
