dateImaged,cellline,location,mag,Area,Round,passage,construct,well,trial,ch1,ch2_uncorrected,ch2,ch3,D/A_before,Efret_before,Ef_GS_calculated,Norm_Ef_IDR/Ef_GS,FPorder
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,1727.32,1685.619,525.8698899999999,1285.629,3.284690819624604,0.233389068686084,0.10850186161949626,2.151014417656289,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,3047.32,2841.402,769.7896399999997,2402.804,3.958639921420612,0.2016682025408104,0.10850186161949626,1.8586612204686213,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,4533.742,4227.134,1087.09387,3879.773,4.170515651974011,0.1934043076763954,0.10850186161949626,1.7824975976416184,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,7256.433,7098.598,2037.95771,6393.32,3.5606396366291624,0.2192674887023336,0.10850186161949626,2.0208638398415673,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,7256.433,7098.598,2037.95771,6393.32,3.5606396366291624,0.2192674887023336,0.10850186161949626,2.0208638398415673,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,2515.948,2666.804,903.60291,2261.835,2.7843513695634288,0.2642460761024318,0.10850186161949626,2.4354059198459916,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,1882.402,1793.32,544.2024599999999,1323.392,3.459010457247842,0.2242650044416385,0.10850186161949626,2.066923102463536,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,2659.062,2467.649,749.6157099999998,1624.897,3.5472335551772263,0.2199139296158333,0.10850186161949626,2.0268217183871604,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,A1,Trial1,1674.825,1667.598,595.5330199999999,970.567,2.8123125733649506,0.2623079773118779,0.10850186161949626,2.417543564660321,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,B2,Trial1,5526.052,5509.0,1560.3410299999998,5367.639,3.5415668073536466,0.2201883276011293,0.10850186161949626,2.0293506886849997,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,B2,Trial1,4234.639,4248.134,1351.09588,3435.155,3.134225381547312,0.2418832810768849,0.10850186161949626,2.229300746241038,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,C1,Trial1,10222.577,10388.412,3124.1612800000003,9717.289,3.272102840990334,0.2340767620116995,0.10850186161949626,2.157352496241771,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,C1,Trial1,5041.392,4756.258,1243.5683399999994,4425.01,4.053972618826886,0.1978641507227075,0.10850186161949626,1.823601436596495,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,C1,Trial1,3114.732,2955.134,806.6806999999999,2619.186,3.8611708449204256,0.205711757908062,0.10850186161949626,1.8959283724501412,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,D1,Trial1,1722.454,1866.948,736.4837000000001,1145.072,2.338753729376495,0.2995129563469624,0.10850186161949626,2.7604407138867386,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,D1,Trial1,8916.577,8894.021,2423.91777,9180.618,3.6785806475604974,0.2137400368467345,0.10850186161949626,1.9699204571834592,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,D2,Trial1,8783.34,8467.402,2158.7890999999995,8702.33,4.06864199935047,0.1972915033510251,0.10850186161949626,1.8183236711910442,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,D2,Trial1,3583.567,3509.278,968.9255899999996,3374.01,3.698495567652415,0.2128340839320289,0.10850186161949626,1.9615708039961004,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,D2,Trial1,2611.99,2488.289,704.3720900000003,2102.959,3.708253119455654,0.2123929989803979,0.10850186161949626,1.9575055746530514,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,D2,Trial1,1654.34,2138.701,961.45798,1581.278,1.720657620419355,0.3675581934656896,0.10850186161949626,3.3875749962214887,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,E1,Trial1,2463.134,2400.876,704.0149800000003,2060.0,3.498695439690785,0.2222866636352547,0.10850186161949626,2.048689859486364,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,E2,Trial1,5606.99,5847.083,1671.3659699999994,6336.907,3.354735049439832,0.2296350957398968,0.10850186161949626,2.1164161822881993,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,E2,Trial1,2816.567,3120.0,1033.60857,3124.268,2.724984178488381,0.2684575160815328,0.10850186161949626,2.4742203688908386,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,E2,Trial1,3443.99,3728.866,1160.8627700000002,3908.887,2.966750324846751,0.2520955235665439,0.10850186161949626,2.3234211819389268,O
3/7/2021,U2-OS,nucleus,40X,10.246,1,12.0,FUS,F1,Trial1,4034.629,4292.423,1334.4977899999994,4313.536,3.023331346243744,0.2485502470318827,0.10850186161949626,2.2907463827995898,O
