,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
p53 NTAD,1020,553,13523,13683,13436,13226,13247,12879,12893,12024,12487,12562,11889,11219,13024,11747,12241,11854,12516,11437
p53 NTAD,1020,554,13354,13466,13267,12963,13051,12696,12727,11803,12286,12417,11744,11074,12809,11606,12011,11598,12316,11281
p53 NTAD,1020,555,13034,13172,12899,12668,12765,12434,12422,11577,12042,12175,11514,10882,12506,11368,11731,11422,12067,11117
p53 NTAD,1020,556,12592,12730,12513,12229,12373,11979,12015,11199,11691,11741,11162,10508,12069,11008,11372,11030,11699,10748
p53 NTAD,1020,557,12193,12410,12121,11863,11975,11625,11643,10859,11298,11421,10821,10250,11759,10694,11099,10765,11347,10414
p53 NTAD,1020,558,11873,12022,11764,11510,11616,11293,11324,10571,11023,11083,10562,9950,11442,10393,10730,10413,11065,10142
p53 NTAD,1020,559,11320,11457,11252,11003,11133,10822,10827,10111,10529,10626,10101,9523,10931,9926,10289,9998,10583,9708
p53 NTAD,1020,560,10943,11087,10863,10661,10731,10438,10471,9778,10177,10274,9795,9224,10642,9572,9963,9665,10233,9390
p53 NTAD,1020,561,10443,10571,10358,10154,10257,9930,10023,9354,9762,9842,9283,8817,10099,9130,9527,9242,9767,8989
p53 NTAD,1020,562,10107,10220,10000,9852,9928,9669,9658,9036,9397,9518,8993,8495,9734,8873,9208,8960,9473,8717
p53 NTAD,1020,563,9613,9806,9552,9382,9476,9203,9248,8616,8985,9073,8606,8140,9320,8486,8802,8552,9008,8275
p53 NTAD,1020,564,9259,9382,9203,9029,9131,8858,8907,8341,8670,8748,8355,7823,8998,8169,8514,8256,8699,8027
p53 NTAD,1020,565,8896,8991,8817,8657,8736,8480,8578,7975,8328,8351,7951,7518,8621,7854,8174,7885,8334,7663
p53 NTAD,1020,566,8610,8732,8604,8443,8488,8237,8247,7721,8035,8080,7681,7270,8370,7585,7861,7645,8083,7445
p53 NTAD,1020,567,8196,8300,8092,8011,8095,7802,7877,7361,7672,7672,7360,6897,7954,7237,7504,7241,7668,7057
p53 NTAD,1020,568,7939,8034,7805,7679,7812,7540,7628,7066,7395,7458,7074,6668,7662,6938,7220,6999,7401,6817
p53 NTAD,1020,569,7446,7519,7376,7246,7303,7143,7146,6713,6992,7023,6658,6284,7225,6561,6816,6620,6996,6469
p53 NTAD,1020,570,7181,7261,7135,6991,7058,6852,6896,6440,6690,6730,6405,6047,6983,6312,6561,6353,6736,6214
p53 NTAD,1020,571,6844,6943,6796,6653,6744,6587,6594,6164,6429,6451,6123,5755,6684,6056,6237,6098,6443,5896
p53 NTAD,1020,572,6568,6661,6557,6421,6529,6314,6366,5957,6182,6245,5894,5566,6398,5824,6022,5848,6189,5649
p53 NTAD,1020,573,6303,6416,6277,6152,6246,6022,6143,5689,5930,5978,5667,5303,6170,5564,5773,5614,5952,5459
p53 NTAD,1020,574,6021,6119,6001,5933,5964,5779,5833,5456,5668,5684,5406,5110,5907,5345,5533,5355,5658,5185
p53 NTAD,1020,575,5826,5923,5818,5694,5724,5569,5648,5222,5430,5514,5224,4902,5698,5156,5372,5174,5464,5009
p53 NTAD,1020,576,5669,5700,5592,5501,5549,5418,5458,5108,5287,5288,5021,4725,5462,4975,5122,4975,5280,4814
p53 NTAD,1020,577,5369,5438,5303,5217,5247,5105,5188,4812,4997,5018,4747,4496,5239,4725,4872,4723,4989,4549
p53 NTAD,1020,578,5100,5191,5090,5019,5033,4919,4962,4620,4817,4812,4567,4295,4991,4555,4677,4506,4753,4374
p53 NTAD,1020,579,4916,4982,4869,4790,4808,4694,4737,4417,4589,4602,4334,4096,4790,4331,4485,4325,4555,4162
p53 NTAD,1020,580,4665,4699,4593,4543,4576,4413,4512,4180,4368,4380,4120,3868,4534,4114,4256,4106,4338,3963
p53 NTAD,1020,581,4453,4475,4383,4323,4365,4273,4304,4005,4162,4164,3924,3691,4348,3915,4038,3893,4125,3780
p53 NTAD,1020,582,4302,4337,4279,4188,4226,4117,4166,3900,4012,4044,3797,3600,4226,3813,3929,3777,3965,3632
p53 NTAD,1020,583,4065,4091,4031,3978,4002,3880,3947,3677,3813,3824,3614,3379,3969,3594,3704,3575,3778,3443
p53 NTAD,1020,584,3959,4006,3895,3837,3878,3781,3820,3553,3692,3680,3472,3258,3853,3464,3608,3483,3625,3320
p53 NTAD,1020,585,3784,3858,3762,3730,3725,3627,3724,3430,3553,3561,3365,3151,3725,3372,3452,3335,3509,3207
p53 NTAD,1020,586,3690,3722,3642,3618,3645,3541,3600,3333,3445,3442,3241,3039,3631,3254,3357,3230,3393,3122
