Q,I(Q),Error
1.19810272E-01,2.15964019E-03,1.44405914E-04
1.20095875E-01,1.89482793E-03,1.43691150E-04
1.20381477E-01,1.96143612E-03,1.42483926E-04
1.20667080E-01,1.93479285E-03,1.42856800E-04
1.20952682E-01,2.01730058E-03,1.40044335E-04
1.21238285E-01,1.77074969E-03,1.41571971E-04
1.21523887E-01,2.11922824E-03,1.41229206E-04
1.21809490E-01,1.86242536E-03,1.40110849E-04
1.22095093E-01,1.97590142E-03,1.41133010E-04
1.22380695E-01,1.72810256E-03,1.39089987E-04
1.22666298E-01,1.99071318E-03,1.39433521E-04
1.22951900E-01,2.03844532E-03,1.38457551E-04
1.23237503E-01,2.04968825E-03,1.39282385E-04
1.23523105E-01,1.67943910E-03,1.37790169E-04
1.23808708E-01,1.66030601E-03,1.38028528E-04
1.24094310E-01,1.89567357E-03,1.38952661E-04
1.24379913E-01,1.65645778E-03,1.36757162E-04
1.24665516E-01,1.73731148E-03,1.37071469E-04
1.24951118E-01,2.08422914E-03,1.38133862E-04
1.25236721E-01,1.88005716E-03,1.38063189E-04
1.25522323E-01,1.81617215E-03,1.38287690E-04
1.25807926E-01,1.50785968E-03,1.35760342E-04
1.26093528E-01,1.97308883E-03,1.37705112E-04
1.26379131E-01,1.85238570E-03,1.36418671E-04
1.26664733E-01,1.51961669E-03,1.39845311E-04
1.26950336E-01,1.54507533E-03,1.42295794E-04
1.27235939E-01,1.53329596E-03,1.43604085E-04
1.27521541E-01,1.50052086E-03,1.46484594E-04
1.27807144E-01,1.48072839E-03,1.45341502E-04
1.28092746E-01,1.74377114E-03,1.48165733E-04
1.28378349E-01,1.27600506E-03,1.47803460E-04
1.28663951E-01,1.58219784E-03,1.49141000E-04
1.28949554E-01,1.49580091E-03,1.50531052E-04
1.29235156E-01,1.72394887E-03,1.50408153E-04
1.29520759E-01,1.47854537E-03,1.50320514E-04
1.29806362E-01,1.64958090E-03,1.50962855E-04
1.30091964E-01,1.60007179E-03,1.50311653E-04
1.30377567E-01,2.00271234E-03,1.53225387E-04
1.30663169E-01,1.52425468E-03,1.50220875E-04
1.30948772E-01,1.40419975E-03,1.51354140E-04
1.31234374E-01,1.20288879E-03,1.48900418E-04
1.31519977E-01,1.40761212E-03,1.51530710E-04
1.31805579E-01,1.50895119E-03,1.52037170E-04
1.32091182E-01,1.20829791E-03,1.51477121E-04
1.32376785E-01,1.65428594E-03,1.54322043E-04
1.32662387E-01,1.68729946E-03,1.52337145E-04
1.32947990E-01,1.47018582E-03,1.53206059E-04
1.33233592E-01,1.25332549E-03,1.52647157E-04
1.33519195E-01,1.36419386E-03,1.50003162E-04
1.33804797E-01,1.29136071E-03,1.47069836E-04
1.34090400E-01,1.33136660E-03,1.43693923E-04
1.34376002E-01,1.18910149E-03,1.43930838E-04
1.34661605E-01,1.12427399E-03,1.41584819E-04
1.34947208E-01,1.27694011E-03,1.41438429E-04
1.35232810E-01,1.45209208E-03,1.41362945E-04
1.35518413E-01,1.45721063E-03,1.39416397E-04
1.35804015E-01,1.30929053E-03,1.37904766E-04
1.36089618E-01,1.33283809E-03,1.37650942E-04
1.36375220E-01,1.32509694E-03,1.37754843E-04
1.36660823E-01,1.30339712E-03,1.36938173E-04
1.36946425E-01,1.23648718E-03,1.36604829E-04
1.37232028E-01,1.45681575E-03,1.37036152E-04
1.37517631E-01,1.11557916E-03,1.35692694E-04
1.37803233E-01,1.18426979E-03,1.36368213E-04
1.38088836E-01,1.09333172E-03,1.34839283E-04
1.38374438E-01,1.07995421E-03,1.35044886E-04
1.38660041E-01,1.13721564E-03,1.35257404E-04
1.38945643E-01,1.06077269E-03,1.34736833E-04
1.39231246E-01,1.18814781E-03,1.35276115E-04
1.39516848E-01,1.08093396E-03,1.34208394E-04
1.39802451E-01,1.19372830E-03,1.33404509E-04
1.40088054E-01,1.15934387E-03,1.34458697E-04
1.40373656E-01,9.88673419E-04,1.33661716E-04
1.40659259E-01,1.08119100E-03,1.34013581E-04
1.40944861E-01,1.11437589E-03,1.32533637E-04
1.41230464E-01,9.67223197E-04,1.33519067E-04
1.41516066E-01,1.24882162E-03,1.33219619E-04
1.41801669E-01,1.09722093E-03,1.32883832E-04
1.42087271E-01,9.16779041E-04,1.32644301E-04
1.42372874E-01,1.20335445E-03,1.31408781E-04
1.42658477E-01,9.63505358E-04,1.32705791E-04
1.42944079E-01,1.11609325E-03,1.32301971E-04
1.43229682E-01,1.05400011E-03,1.31916631E-04
1.43515284E-01,9.66072083E-04,1.32462235E-04
1.43800887E-01,1.13893300E-03,1.31022971E-04
1.44086489E-01,6.76769763E-04,1.31419453E-04
1.44372092E-01,1.02649629E-03,1.30529548E-04
1.44657694E-01,9.38992947E-04,1.31240230E-04
1.44943297E-01,9.46786255E-04,1.30684878E-04
1.45228900E-01,9.60554928E-04,1.30236072E-04
1.45514502E-01,9.40069556E-04,1.31708109E-04
1.45800105E-01,7.28663057E-04,1.28974787E-04
1.46085707E-01,6.72064722E-04,1.30605858E-04
1.46371310E-01,1.04189664E-03,1.30638519E-04
1.46656912E-01,8.33265483E-04,1.29882670E-04
1.46942515E-01,1.13991275E-03,1.30242580E-04
1.47228117E-01,7.92678446E-04,1.28337511E-04
1.47513720E-01,1.07739121E-03,1.30005697E-04
1.47799323E-01,1.03022158E-03,1.29990480E-04
1.48084925E-01,8.91830772E-04,1.29161049E-04
1.48370528E-01,6.93727285E-04,1.29243095E-04
1.48656130E-01,9.53223556E-04,1.28790348E-04
1.48941733E-01,1.03527308E-03,1.29743335E-04
1.49227335E-01,8.29085708E-04,1.28426794E-04
1.49512938E-01,8.21225345E-04,1.28030448E-04
1.49798540E-01,8.66547227E-04,1.28807438E-04
1.50084143E-01,8.98290426E-04,1.28069285E-04
