,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,NaCl,NaCl,NaCl,NaCl,NaCl,NaCl,KCl,KCl,KCl,KCl,KCl,KCl
Protein,Gain,conc,0,0,0,0,0,0,0.25,0.5,0.75,1,1.25,1.5,0.25,0.5,0.75,1,1.25,1.5
GS48,1020,565,6109,12835,11547,11652,11573,11490,10757,10762,10361,11314,10810,10834,10381,10741,11057,10585,10843,10684
GS48,1020,566,5796,12275,10961,11107,11025,10970,10224,10310,9877,10744,10288,10390,9876,10213,10553,10052,10318,10204
GS48,1020,567,5592,11742,10530,10646,10576,10511,9870,9855,9501,10298,9887,9932,9499,9787,10123,9643,9924,9774
GS48,1020,568,5327,11196,10064,10131,10040,10030,9404,9422,9057,9883,9388,9431,9061,9371,9633,9261,9439,9299
GS48,1020,569,5080,10641,9588,9657,9669,9583,9000,9008,8630,9411,9002,9045,8695,8927,9233,8898,9019,8875
GS48,1020,570,4937,10397,9292,9429,9382,9281,8734,8782,8405,9158,8734,8753,8456,8719,8954,8586,8755,8601
GS48,1020,571,4711,9916,8853,8965,8877,8855,8318,8321,8045,8699,8360,8327,8031,8296,8562,8145,8400,8222
GS48,1020,572,4525,9538,8554,8614,8592,8566,8027,8034,7727,8418,8020,8033,7743,7997,8252,7879,8071,7891
GS48,1020,573,4369,9189,8273,8354,8294,8277,7737,7746,7496,8115,7730,7764,7490,7752,7976,7603,7822,7629
GS48,1020,574,4199,8755,7829,7973,7872,7862,7417,7437,7153,7733,7377,7380,7196,7364,7623,7233,7391,7249
GS48,1020,575,4019,8455,7583,7669,7597,7591,7134,7125,6870,7419,7094,7114,6900,7144,7322,6996,7152,7008
GS48,1020,576,3886,8170,7276,7386,7363,7276,6900,6861,6663,7208,6851,6844,6659,6850,7059,6738,6866,6714
GS48,1020,577,3665,7698,6896,6949,6958,6907,6503,6548,6248,6809,6469,6468,6297,6468,6708,6364,6520,6392
GS48,1020,578,3522,7370,6638,6713,6643,6621,6242,6294,6001,6541,6176,6213,6067,6248,6432,6107,6244,6100
GS48,1020,579,3306,6925,6228,6291,6233,6257,5890,5892,5671,6134,5853,5852,5681,5859,6027,5729,5865,5730
GS48,1020,580,3194,6680,6029,6046,6044,6013,5727,5696,5455,5884,5634,5628,5512,5649,5830,5549,5640,5507
GS48,1020,581,3017,6330,5671,5764,5698,5695,5415,5409,5163,5638,5350,5308,5211,5381,5530,5276,5344,5226
GS48,1020,582,2954,6141,5568,5594,5568,5570,5258,5266,5058,5454,5200,5188,5098,5267,5391,5142,5231,5098
GS48,1020,583,2845,5930,5314,5394,5362,5340,5091,5076,4877,5244,4996,4985,4888,5031,5203,4939,5027,4905
GS48,1020,584,2748,5743,5150,5208,5155,5159,4925,4938,4705,5070,4808,4786,4733,4885,5006,4749,4855,4711
GS48,1020,585,2631,5491,4963,5000,4982,4965,4706,4715,4515,4888,4633,4602,4618,4692,4840,4589,4643,4532
GS48,1020,586,2581,5349,4810,4856,4829,4799,4589,4623,4409,4762,4498,4489,4465,4602,4689,4476,4494,4425
GS48,1020,587,2465,5188,4643,4722,4627,4645,4468,4444,4223,4603,4337,4300,4300,4423,4525,4310,4355,4242
GS48,1020,588,2398,5006,4487,4495,4505,4498,4313,4305,4120,4418,4205,4194,4155,4266,4351,4114,4235,4117
GS48,1020,589,2320,4824,4349,4384,4370,4365,4185,4155,3982,4281,4092,4057,4027,4143,4251,4039,4087,3999
GS48,1020,590,2264,4703,4231,4229,4239,4231,4050,4031,3868,4171,3952,3959,3931,4020,4122,3897,3962,3850
GS48,1020,591,2227,4574,4129,4163,4132,4135,3979,3935,3812,4089,3882,3846,3801,3943,4033,3812,3892,3755
GS48,1020,592,2141,4421,4002,4040,4016,3995,3852,3837,3680,3939,3766,3737,3711,3815,3908,3687,3725,3644
GS48,1020,593,2080,4315,3886,3959,3931,3928,3719,3738,3551,3898,3651,3616,3614,3720,3811,3604,3673,3570
GS48,1020,594,2013,4142,3732,3748,3783,3749,3583,3580,3428,3693,3502,3483,3493,3550,3654,3454,3523,3405
GS48,1020,595,1941,4046,3646,3676,3662,3648,3474,3478,3315,3565,3429,3381,3333,3429,3551,3345,3410,3322
GS48,1020,596,1875,3906,3504,3533,3544,3549,3381,3363,3234,3480,3306,3286,3241,3348,3437,3263,3323,3227
GS48,1020,597,1814,3790,3401,3449,3409,3405,3284,3260,3126,3366,3192,3176,3154,3253,3350,3146,3229,3130
GS48,1020,598,1741,3624,3234,3290,3260,3262,3112,3117,2991,3236,3060,3035,3004,3119,3182,3011,3063,2987
GS48,1020,599,1665,3514,3127,3153,3147,3136,3017,3012,2854,3091,2942,2933,2905,2987,3059,2884,2961,2863
GS48,1020,600,1649,3403,3062,3087,3083,3081,2958,2916,2853,3062,2872,2849,2843,2927,2986,2832,2910,2815
